text,label
"investi R$ 445,00 em restaurante",alimentação
"investi R$ 4.540,00 em mercado",alimentação
"paguei R$ 35,00 por feira",alimentação
"paguei R$ 5.196,00 por padaria",alimentação
"gastei R$ 3.326,00 com comida",alimentação
"efetuei compra de padaria no valor de R$ 6.159,00",alimentação
"gastei R$ 1.481,00 com restaurante",alimentação
"fiz compra de supermercado por R$ 9.350,00",alimentação
"adquiri feira por R$ 4.354,00",alimentação
"paguei R$ 8.952,00 por comida",alimentação
"realizei pagamento de R$ 2.442,00 em almoço",alimentação
"investi R$ 7.999,00 em comida",alimentação
"efetuei compra de padaria no valor de R$ 4.403,00",alimentação
"gastei R$ 4.605,00 com restaurante",alimentação
"investi R$ 5.991,00 em restaurante",alimentação
"adquiri almoço por R$ 5.476,00",alimentação
"adquiri supermercado por R$ 9.594,00",alimentação
"adquiri feira por R$ 727,00",alimentação
"gastei R$ 7.111,00 com supermercado",alimentação
"realizei pagamento de R$ 7.421,00 em lanche",alimentação
"gastei R$ 6.260,00 com mercado",alimentação
"adquiri padaria por R$ 6.253,00",alimentação
"efetuei compra de lanche no valor de R$ 6.716,00",alimentação
"efetuei compra de lanche no valor de R$ 1.958,00",alimentação
"fiz compra de feira por R$ 357,00",alimentação
"investi R$ 8.954,00 em mercado",alimentação
"comprei R$ 8.482,00 de supermercado",alimentação
"adquiri feira por R$ 5.554,00",alimentação
"paguei R$ 5.408,00 por restaurante",alimentação
"adquiri jantar por R$ 6.458,00",alimentação
"paguei R$ 3.751,00 por almoço",alimentação
"efetuei compra de restaurante no valor de R$ 6.164,00",alimentação
"efetuei compra de lanche no valor de R$ 5.385,00",alimentação
"adquiri comida por R$ 6.491,00",alimentação
"efetuei compra de jantar no valor de R$ 3.343,00",alimentação
"paguei R$ 3.807,00 em lanche",alimentação
"paguei R$ 7.639,00 em padaria",alimentação
"efetuei compra de mercado no valor de R$ 5.828,00",alimentação
"adquiri mercado por R$ 3.622,00",alimentação
"adquiri padaria por R$ 6.201,00",alimentação
"investi R$ 4.725,00 em lanche",alimentação
"adquiri viagem por R$ 3.489,00",transporte
"realizei pagamento de R$ 158,00 em metrô",transporte
"adquiri gasolina por R$ 7.792,00",transporte
"fiz compra de táxi por R$ 8.409,00",transporte
"efetuei compra de viagem no valor de R$ 1.863,00",transporte
"gastei R$ 2.998,00 com pedágio",transporte
"realizei pagamento de R$ 6.359,00 em combustível",transporte
"gastei R$ 2.825,00 com táxi",transporte
"paguei R$ 775,00 por combustível",transporte
"paguei R$ 8.588,00 em viagem",transporte
"paguei R$ 8.728,00 por metrô",transporte
"investi R$ 2.349,00 em estacionamento",transporte
"comprei R$ 7.454,00 de combustível",transporte
"adquiri uber por R$ 277,00",transporte
"comprei R$ 4.200,00 de viagem",transporte
"investi R$ 73,00 em ônibus",transporte
"adquiri viagem por R$ 746,00",transporte
"comprei R$ 3.788,00 de estacionamento",transporte
"gastei R$ 7.275,00 com uber",transporte
"gastei R$ 8.151,00 com gasolina",transporte
"adquiri passagem por R$ 7.879,00",transporte
"paguei R$ 8.548,00 por gasolina",transporte
"gastei R$ 5.055,00 com pedágio",transporte
"comprei R$ 7.051,00 de pedágio",transporte
"comprei R$ 5.701,00 de gasolina",transporte
"adquiri metrô por R$ 4.540,00",transporte
"investi R$ 5.269,00 em gasolina",transporte
"investi R$ 1.094,00 em estacionamento",transporte
"adquiri táxi por R$ 6.072,00",transporte
"comprei R$ 3.467,00 de táxi",transporte
"paguei R$ 9.988,00 por metrô",transporte
"comprei R$ 995,00 de passagem",transporte
"gastei R$ 5.255,00 com pedágio",transporte
"paguei R$ 4.932,00 em metrô",transporte
"paguei R$ 5.880,00 em ônibus",transporte
"paguei R$ 5.544,00 em ônibus",transporte
"comprei R$ 1.539,00 de passagem",transporte
"realizei pagamento de R$ 9.606,00 em metrô",transporte
"realizei pagamento de R$ 5.925,00 em pedágio",transporte
"adquiri passagem por R$ 8.649,00",transporte
"fiz compra de metrô por R$ 5.370,00",transporte
"paguei R$ 2.221,00 por gasolina",transporte
"gastei R$ 7.181,00 com viagem",transporte
"adquiri uber por R$ 4.204,00",transporte
"investi R$ 9.922,00 em viagem",transporte
"efetuei compra de uber no valor de R$ 2.868,00",transporte
"gastei R$ 5.087,00 com pedágio",transporte
"investi R$ 4.537,00 em pedágio",transporte
"investi R$ 1,00 em metrô",transporte
"gastei R$ 607,00 com combustível",transporte
"paguei R$ 345,00 por pedágio",transporte
"comprei R$ 6.320,00 de gasolina",transporte
"gastei R$ 7.226,00 com uber",transporte
"paguei R$ 2.735,00 em pedágio",transporte
"investi R$ 6.567,00 em estacionamento",transporte
"adquiri gasolina por R$ 5.913,00",transporte
"paguei R$ 1.217,00 em pedágio",transporte
"realizei pagamento de R$ 7.385,00 em ônibus",transporte
"paguei R$ 2.615,00 por táxi",transporte
"realizei pagamento de R$ 2.768,00 em uber",transporte
"gastei R$ 892,00 com uber",transporte
"realizei pagamento de R$ 2.876,00 em combustível",transporte
"adquiri uber por R$ 6.514,00",transporte
"comprei R$ 7.415,00 de viagem",transporte
"realizei pagamento de R$ 7.936,00 em estacionamento",transporte
"adquiri estacionamento por R$ 2.771,00",transporte
"adquiri uber por R$ 2.081,00",transporte
"realizei pagamento de R$ 9.874,00 em táxi",transporte
"paguei R$ 7.863,00 em estacionamento",transporte
"paguei R$ 7.518,00 por estacionamento",transporte
"adquiri uber por R$ 1.068,00",transporte
"paguei R$ 736,00 por estacionamento",transporte
"paguei R$ 2.268,00 em estacionamento",transporte
"adquiri pedágio por R$ 3.366,00",transporte
"realizei pagamento de R$ 3.681,00 em passagem",transporte
"paguei R$ 1.290,00 em combustível",transporte
"paguei R$ 2.041,00 por estacionamento",transporte
"investi R$ 3.891,00 em uber",transporte
"realizei pagamento de R$ 6.275,00 em pedágio",transporte
"investi R$ 3.248,00 em metrô",transporte
"efetuei compra de uber no valor de R$ 8.662,00",transporte
"fiz compra de gasolina por R$ 1.568,00",transporte
"investi R$ 8.252,00 em gasolina",transporte
"investi R$ 6.761,00 em metrô",transporte
"fiz compra de gasolina por R$ 5.892,00",transporte
"adquiri passagem por R$ 2.541,00",transporte
"fiz compra de metrô por R$ 9.826,00",transporte
"comprei R$ 5.683,00 de combustível",transporte
"investi R$ 8.003,00 em ônibus",transporte
"efetuei compra de pedágio no valor de R$ 5.298,00",transporte
"gastei R$ 5.373,00 com pedágio",transporte
"investi R$ 2.564,00 em gasolina",transporte
"investi R$ 695,00 em metrô",transporte
"paguei R$ 2.461,00 por passagem",transporte
"paguei R$ 9.960,00 em pedágio",transporte
"realizei pagamento de R$ 4.629,00 em pedágio",transporte
"fiz compra de ônibus por R$ 8.364,00",transporte
"fiz compra de metrô por R$ 5.745,00",transporte
"paguei R$ 8.381,00 em pedágio",transporte
"comprei R$ 2.595,00 de pedágio",transporte
"paguei R$ 6.490,00 por luz",moradia
"gastei R$ 2.148,00 com luz",moradia
"paguei R$ 6.169,00 em telefone",moradia
"adquiri telefone por R$ 190,00",moradia
"adquiri luz por R$ 7.155,00",moradia
"comprei R$ 7.341,00 de água",moradia
"efetuei compra de telefone no valor de R$ 2.898,00",moradia
"investi R$ 6.124,00 em decoração",moradia
"gastei R$ 3.681,00 com gás",moradia
"comprei R$ 6.111,00 de internet",moradia
"paguei R$ 7.681,00 por telefone",moradia
"investi R$ 4.919,00 em reforma",moradia
"investi R$ 4.589,00 em decoração",moradia
"investi R$ 5.863,00 em telefone",moradia
"adquiri decoração por R$ 2.564,00",moradia
"adquiri móveis por R$ 9.798,00",moradia
"paguei R$ 317,00 em aluguel",moradia
"gastei R$ 1.149,00 com aluguel",moradia
"gastei R$ 6.545,00 com decoração",moradia
"realizei pagamento de R$ 5.643,00 em gás",moradia
"investi R$ 134,00 em gás",moradia
"realizei pagamento de R$ 2.325,00 em água",moradia
"fiz compra de luz por R$ 4.217,00",moradia
"realizei pagamento de R$ 3.764,00 em aluguel",moradia
"investi R$ 5.338,00 em luz",moradia
"paguei R$ 8.537,00 em aluguel",moradia
"realizei pagamento de R$ 3.083,00 em gás",moradia
"efetuei compra de luz no valor de R$ 729,00",moradia
"realizei pagamento de R$ 4.859,00 em reforma",moradia
"adquiri telefone por R$ 4.165,00",moradia
"investi R$ 5.335,00 em móveis",moradia
"gastei R$ 7.985,00 com luz",moradia
"paguei R$ 9.400,00 em gás",moradia
"paguei R$ 3.057,00 em condomínio",moradia
"gastei R$ 2.458,00 com gás",moradia
"adquiri telefone por R$ 6.253,00",moradia
"gastei R$ 8.809,00 com aluguel",moradia
"comprei R$ 6.476,00 de condomínio",moradia
"adquiri móveis por R$ 602,00",moradia
"gastei R$ 5.936,00 com internet",moradia
"realizei pagamento de R$ 7.965,00 em reforma",moradia
"adquiri internet por R$ 5.236,00",moradia
"adquiri reforma por R$ 4.555,00",moradia
"efetuei compra de internet no valor de R$ 3.661,00",moradia
"fiz compra de água por R$ 7.888,00",moradia
"adquiri condomínio por R$ 9.780,00",moradia
"adquiri condomínio por R$ 2.426,00",moradia
"paguei R$ 914,00 por decoração",moradia
"investi R$ 7.405,00 em móveis",moradia
"adquiri condomínio por R$ 6.268,00",moradia
"fiz compra de aluguel por R$ 5.286,00",moradia
"gastei R$ 5.684,00 com água",moradia
"paguei R$ 8.478,00 por reforma",moradia
"paguei R$ 6.009,00 em água",moradia
"adquiri decoração por R$ 5.859,00",moradia
"efetuei compra de aluguel no valor de R$ 8.858,00",moradia
"comprei R$ 5.894,00 de aluguel",moradia
"adquiri móveis por R$ 2.642,00",moradia
"efetuei compra de água no valor de R$ 9.101,00",moradia
"investi R$ 5.193,00 em luz",moradia
"adquiri reforma por R$ 2.501,00",moradia
"comprei R$ 3.147,00 de gás",moradia
"comprei R$ 5.319,00 de aluguel",moradia
"adquiri condomínio por R$ 8.035,00",moradia
"adquiri internet por R$ 6.579,00",moradia
"adquiri internet por R$ 6.024,00",moradia
"comprei R$ 6.441,00 de condomínio",moradia
"adquiri decoração por R$ 953,00",moradia
"fiz compra de condomínio por R$ 9.279,00",moradia
"adquiri gás por R$ 5.640,00",moradia
"paguei R$ 4.530,00 em móveis",moradia
"adquiri telefone por R$ 1.645,00",moradia
"paguei R$ 7.715,00 por móveis",moradia
"paguei R$ 4.032,00 em água",moradia
"adquiri gás por R$ 3.888,00",moradia
"investi R$ 4.032,00 em móveis",moradia
"gastei R$ 6.109,00 com decoração",moradia
"efetuei compra de água no valor de R$ 3.613,00",moradia
"realizei pagamento de R$ 6.373,00 em telefone",moradia
"fiz compra de móveis por R$ 2.566,00",moradia
"adquiri reforma por R$ 851,00",moradia
"realizei pagamento de R$ 5.341,00 em telefone",moradia
"realizei pagamento de R$ 6.413,00 em luz",moradia
"paguei R$ 605,00 em móveis",moradia
"paguei R$ 1.011,00 por luz",moradia
"paguei R$ 6.225,00 por decoração",moradia
"fiz compra de internet por R$ 2.084,00",moradia
"efetuei compra de telefone no valor de R$ 5.808,00",moradia
"fiz compra de condomínio por R$ 9.496,00",moradia
"realizei pagamento de R$ 7.746,00 em internet",moradia
"paguei R$ 3.156,00 em gás",moradia
"efetuei compra de gás no valor de R$ 7.686,00",moradia
"realizei pagamento de R$ 1.831,00 em móveis",moradia
"comprei R$ 4.822,00 de reforma",moradia
"efetuei compra de reforma no valor de R$ 7.612,00",moradia
"adquiri água por R$ 3.081,00",moradia
"realizei pagamento de R$ 4.519,00 em condomínio",moradia
"efetuei compra de gás no valor de R$ 4.003,00",moradia
"paguei R$ 7.614,00 por decoração",moradia
"efetuei compra de internet no valor de R$ 3.030,00",moradia
"fiz compra de dentista por R$ 8.190,00",saúde
"realizei pagamento de R$ 4.685,00 em exame",saúde
"paguei R$ 6.836,00 por consulta",saúde
"gastei R$ 594,00 com dentista",saúde
"comprei R$ 4.343,00 de fisioterapia",saúde
"adquiri remédio por R$ 7.292,00",saúde
"adquiri médico por R$ 4.103,00",saúde
"efetuei compra de hospital no valor de R$ 9.919,00",saúde
"realizei pagamento de R$ 9.242,00 em óculos",saúde
"efetuei compra de fisioterapia no valor de R$ 842,00",saúde
"paguei R$ 6.232,00 em remédio",saúde
"efetuei compra de hospital no valor de R$ 8.213,00",saúde
"realizei pagamento de R$ 7.005,00 em hospital",saúde
"fiz compra de remédio por R$ 7.981,00",saúde
"adquiri dentista por R$ 2.124,00",saúde
"investi R$ 2.444,00 em plano de saúde",saúde
"paguei R$ 7.242,00 em médico",saúde
"investi R$ 7.288,00 em remédio",saúde
"adquiri dentista por R$ 3.259,00",saúde
"gastei R$ 6.065,00 com dentista",saúde
"comprei R$ 2.736,00 de médico",saúde
"adquiri hospital por R$ 3.236,00",saúde
"efetuei compra de fisioterapia no valor de R$ 7.646,00",saúde
"efetuei compra de remédio no valor de R$ 1.506,00",saúde
"adquiri dentista por R$ 9.141,00",saúde
"gastei R$ 5.925,00 com remédio",saúde
"efetuei compra de médico no valor de R$ 927,00",saúde
"adquiri remédio por R$ 3.525,00",saúde
"adquiri plano de saúde por R$ 3.651,00",saúde
"fiz compra de óculos por R$ 696,00",saúde
"investi R$ 2.053,00 em consulta",saúde
"comprei R$ 3.051,00 de consulta",saúde
"adquiri remédio por R$ 8.162,00",saúde
"investi R$ 1.027,00 em remédio",saúde
"gastei R$ 393,00 com fisioterapia",saúde
"adquiri remédio por R$ 2.509,00",saúde
"efetuei compra de médico no valor de R$ 5.587,00",saúde
"realizei pagamento de R$ 3.797,00 em óculos",saúde
"adquiri exame por R$ 9.775,00",saúde
"gastei R$ 2.631,00 com exame",saúde
"gastei R$ 7.365,00 com óculos",saúde
"paguei R$ 7.219,00 em consulta",saúde
"efetuei compra de fisioterapia no valor de R$ 3.060,00",saúde
"paguei R$ 6.381,00 por hospital",saúde
"realizei pagamento de R$ 2.308,00 em exame",saúde
"realizei pagamento de R$ 3.120,00 em hospital",saúde
"efetuei compra de exame no valor de R$ 8.541,00",saúde
"comprei R$ 3.900,00 de médico",saúde
"realizei pagamento de R$ 5.850,00 em médico",saúde
"investi R$ 7.413,00 em remédio",saúde
"investi R$ 9.017,00 em consulta",saúde
"gastei R$ 2.449,00 com consulta",saúde
"adquiri óculos por R$ 3.633,00",saúde
"fiz compra de médico por R$ 8.020,00",saúde
"paguei R$ 2.252,00 por médico",saúde
"paguei R$ 8.564,00 em exame",saúde
"efetuei compra de hospital no valor de R$ 9.183,00",saúde
"paguei R$ 3.758,00 em remédio",saúde
"comprei R$ 7.287,00 de médico",saúde
"gastei R$ 9.910,00 com fisioterapia",saúde
"realizei pagamento de R$ 4.127,00 em dentista",saúde
"investi R$ 3.225,00 em plano de saúde",saúde
"paguei R$ 5.704,00 em médico",saúde
"efetuei compra de fisioterapia no valor de R$ 3.029,00",saúde
"fiz compra de remédio por R$ 8.303,00",saúde
"realizei pagamento de R$ 3.470,00 em exame",saúde
"efetuei compra de óculos no valor de R$ 5.147,00",saúde
"adquiri farmacia por R$ 8.875,00",saúde
"realizei pagamento de R$ 4.367,00 em médico",saúde
"realizei pagamento de R$ 137,00 em exame",saúde
"paguei R$ 76,00 por hospital",saúde
"paguei R$ 988,00 por remédio",saúde
"paguei R$ 4.200,00 em óculos",saúde
"gastei R$ 9.423,00 com plano de saúde",saúde
"comprei R$ 8.770,00 de plano de saúde",saúde
"adquiri hospital por R$ 7.235,00",saúde
"investi R$ 2.046,00 em óculos",saúde
"efetuei compra de médico no valor de R$ 8.429,00",saúde
"paguei R$ 1.390,00 em óculos",saúde
"investi R$ 4.664,00 em farmacia",saúde
"comprei R$ 77,00 de exame",saúde
"adquiri óculos por R$ 1.535,00",saúde
"fiz compra de farmacia por R$ 3.366,00",saúde
"paguei R$ 4.877,00 em fisioterapia",saúde
"paguei R$ 9.284,00 em óculos",saúde
"adquiri hospital por R$ 5.769,00",saúde
"gastei R$ 2.034,00 com remédio",saúde
"paguei R$ 6.535,00 por fisioterapia",saúde
"fiz compra de consulta por R$ 4.970,00",saúde
"comprei R$ 8.118,00 de remédio",saúde
"paguei R$ 5.753,00 por óculos",saúde
"efetuei compra de exame no valor de R$ 6.632,00",saúde
"paguei R$ 7.213,00 por exame",saúde
"paguei R$ 5.747,00 por remédio",saúde
"paguei R$ 3.628,00 por fisioterapia",saúde
"efetuei compra de remédio no valor de R$ 3.793,00",saúde
"fiz compra de farmacia por R$ 3.497,00",saúde
"realizei pagamento de R$ 884,00 em farmacia",saúde
"gastei R$ 88,00 com óculos",saúde
"paguei R$ 8.466,00 em fisioterapia",saúde
"realizei pagamento de R$ 4.894,00 em material escolar",educação
"efetuei compra de universidade no valor de R$ 1.645,00",educação
"comprei R$ 3.542,00 de livro",educação
"paguei R$ 6.051,00 por idioma",educação
"adquiri escola por R$ 9.090,00",educação
"investi R$ 5.596,00 em livro",educação
"adquiri faculdade por R$ 4.005,00",educação
"fiz compra de escola por R$ 8.838,00",educação
"adquiri escola por R$ 296,00",educação
"investi R$ 3.904,00 em universidade",educação
"efetuei compra de universidade no valor de R$ 4.157,00",educação
"gastei R$ 4.047,00 com idioma",educação
"paguei R$ 1.546,00 em workshop",educação
"fiz compra de idioma por R$ 8.032,00",educação
"paguei R$ 2.505,00 em mensalidade",educação
"fiz compra de livro por R$ 3.111,00",educação
"gastei R$ 7.347,00 com material escolar",educação
"gastei R$ 7.371,00 com idioma",educação
"paguei R$ 1.870,00 por workshop",educação
"adquiri livro por R$ 1.638,00",educação
"investi R$ 2.527,00 em material escolar",educação
"realizei pagamento de R$ 7.250,00 em workshop",educação
"adquiri material escolar por R$ 8.323,00",educação
"comprei R$ 3.052,00 de idioma",educação
"investi R$ 1.749,00 em escola",educação
"efetuei compra de livro no valor de R$ 6.187,00",educação
"paguei R$ 4.270,00 em aula",educação
"paguei R$ 7.972,00 por aula",educação
"comprei R$ 8.407,00 de aula",educação
"adquiri livro por R$ 2.755,00",educação
"adquiri idioma por R$ 1.982,00",educação
"paguei R$ 534,00 por material escolar",educação
"fiz compra de mensalidade por R$ 9.137,00",educação
"adquiri universidade por R$ 3.310,00",educação
"adquiri livro por R$ 8.580,00",educação
"efetuei compra de workshop no valor de R$ 4.663,00",educação
"adquiri mensalidade por R$ 3.371,00",educação
"paguei R$ 4.141,00 em livro",educação
"comprei R$ 7.462,00 de idioma",educação
"adquiri workshop por R$ 4.762,00",educação
"investi R$ 3.794,00 em mensalidade",educação
"adquiri universidade por R$ 7.553,00",educação
"efetuei compra de livro no valor de R$ 483,00",educação
"realizei pagamento de R$ 1.597,00 em idioma",educação
"adquiri mensalidade por R$ 9.412,00",educação
"paguei R$ 2.677,00 em idioma",educação
"fiz compra de universidade por R$ 1.793,00",educação
"paguei R$ 545,00 por curso",educação
"investi R$ 894,00 em universidade",educação
"investi R$ 4.668,00 em universidade",educação
"adquiri workshop por R$ 3.205,00",educação
"adquiri escola por R$ 7.725,00",educação
"adquiri material escolar por R$ 5.590,00",educação
"adquiri livro por R$ 9.734,00",educação
"realizei pagamento de R$ 921,00 em workshop",educação
"adquiri universidade por R$ 7.304,00",educação
"adquiri idioma por R$ 3.055,00",educação
"paguei R$ 3.211,00 em livro",educação
"realizei pagamento de R$ 2.312,00 em escola",educação
"gastei R$ 7.292,00 com mensalidade",educação
"investi R$ 4.711,00 em universidade",educação
"efetuei compra de livro no valor de R$ 3.457,00",educação
"efetuei compra de curso no valor de R$ 3.725,00",educação
"realizei pagamento de R$ 1.928,00 em livro",educação
"paguei R$ 5.817,00 por idioma",educação
"realizei pagamento de R$ 6.945,00 em curso",educação
"paguei R$ 2.360,00 por mensalidade",educação
"efetuei compra de faculdade no valor de R$ 7.455,00",educação
"paguei R$ 1.635,00 por workshop",educação
"efetuei compra de faculdade no valor de R$ 885,00",educação
"comprei R$ 1.090,00 de universidade",educação
"efetuei compra de workshop no valor de R$ 2.272,00",educação
"adquiri workshop por R$ 9.428,00",educação
"investi R$ 8.890,00 em aula",educação
"paguei R$ 4.865,00 em faculdade",educação
"gastei R$ 3.906,00 com escola",educação
"paguei R$ 7.135,00 por curso",educação
"realizei pagamento de R$ 8.740,00 em escola",educação
"adquiri livro por R$ 5.824,00",educação
"comprei R$ 5.045,00 de livro",educação
"investi R$ 3.440,00 em escola",educação
"fiz compra de curso por R$ 6.159,00",educação
"efetuei compra de mensalidade no valor de R$ 7.536,00",educação
"paguei R$ 7.579,00 por material escolar",educação
"paguei R$ 4.403,00 por curso",educação
"adquiri livro por R$ 9.426,00",educação
"paguei R$ 5.576,00 por idioma",educação
"gastei R$ 3.103,00 com escola",educação
"paguei R$ 3.728,00 por material escolar",educação
"investi R$ 5.826,00 em faculdade",educação
"paguei R$ 5.956,00 em escola",educação
"realizei pagamento de R$ 7.616,00 em idioma",educação
"realizei pagamento de R$ 465,00 em material escolar",educação
"gastei R$ 1.567,00 com escola",educação
"fiz compra de universidade por R$ 9.063,00",educação
"efetuei compra de idioma no valor de R$ 5.907,00",educação
"fiz compra de curso por R$ 9.840,00",educação
"efetuei compra de mensalidade no valor de R$ 5.856,00",educação
"efetuei compra de workshop no valor de R$ 5.385,00",educação
"paguei R$ 1.744,00 por workshop",educação
"comprei R$ 4.834,00 de viagem",lazer
"efetuei compra de show no valor de R$ 7.364,00",lazer
"paguei R$ 5.475,00 em viagem",lazer
"realizei pagamento de R$ 5.080,00 em jogo",lazer
"investi R$ 6.414,00 em academia",lazer
"gastei R$ 8.757,00 com jogo",lazer
"investi R$ 5.110,00 em viagem",lazer
"paguei R$ 718,00 em teatro",lazer
"adquiri parque por R$ 9.894,00",lazer
"investi R$ 8.183,00 em cinema",lazer
"gastei R$ 6.245,00 com academia",lazer
"paguei R$ 459,00 por esporte",lazer
"adquiri cinema por R$ 8.145,00",lazer
"gastei R$ 9.294,00 com parque",lazer
"paguei R$ 2.759,00 em museu",lazer
"comprei R$ 7.363,00 de cinema",lazer
"fiz compra de teatro por R$ 4.703,00",lazer
"paguei R$ 8.178,00 por academia",lazer
"comprei R$ 105,00 de parque",lazer
"comprei R$ 2.314,00 de academia",lazer
"realizei pagamento de R$ 3.008,00 em esporte",lazer
"adquiri cinema por R$ 1.658,00",lazer
"fiz compra de museu por R$ 3.218,00",lazer
"adquiri museu por R$ 5.698,00",lazer
"paguei R$ 3.880,00 em esporte",lazer
"comprei R$ 8.831,00 de parque",lazer
"realizei pagamento de R$ 6.744,00 em viagem",lazer
"fiz compra de teatro por R$ 7.710,00",lazer
"investi R$ 7.886,00 em hobby",lazer
"paguei R$ 8.198,00 em cinema",lazer
"realizei pagamento de R$ 1.774,00 em esporte",lazer
"efetuei compra de hobby no valor de R$ 2.617,00",lazer
"adquiri jogo por R$ 9.076,00",lazer
"gastei R$ 6.939,00 com parque",lazer
"efetuei compra de viagem no valor de R$ 1.563,00",lazer
"paguei R$ 8.727,00 por museu",lazer
"investi R$ 7.451,00 em esporte",lazer
"investi R$ 1.849,00 em show",lazer
"paguei R$ 1.529,00 em esporte",lazer
"adquiri parque por R$ 3.680,00",lazer
"adquiri academia por R$ 6.950,00",lazer
"paguei R$ 644,00 em teatro",lazer
"adquiri museu por R$ 5.970,00",lazer
"realizei pagamento de R$ 8.953,00 em museu",lazer
"efetuei compra de academia no valor de R$ 4.932,00",lazer
"investi R$ 933,00 em show",lazer
"paguei R$ 6.759,00 em museu",lazer
"comprei R$ 8.479,00 de teatro",lazer
"paguei R$ 9.284,00 em jogo",lazer
"gastei R$ 2.294,00 com cinema",lazer
"efetuei compra de viagem no valor de R$ 7.503,00",lazer
"realizei pagamento de R$ 4.557,00 em parque",lazer
"comprei R$ 4.866,00 de cinema",lazer
"paguei R$ 8.056,00 por hobby",lazer
"adquiri viagem por R$ 6.435,00",lazer
"efetuei compra de cinema no valor de R$ 6.758,00",lazer
"efetuei compra de esporte no valor de R$ 896,00",lazer
"gastei R$ 6.362,00 com teatro",lazer
"paguei R$ 2.832,00 em teatro",lazer
"comprei R$ 7.431,00 de show",lazer
"efetuei compra de jogo no valor de R$ 2.294,00",lazer
"paguei R$ 9.746,00 por show",lazer
"paguei R$ 7.178,00 por show",lazer
"fiz compra de academia por R$ 8.653,00",lazer
"investi R$ 9.212,00 em show",lazer
"comprei R$ 3.665,00 de hobby",lazer
"paguei R$ 1.592,00 em show",lazer
"paguei R$ 8.525,00 por academia",lazer
"adquiri parque por R$ 9.564,00",lazer
"adquiri academia por R$ 2.029,00",lazer
"adquiri teatro por R$ 6.633,00",lazer
"realizei pagamento de R$ 1.701,00 em esporte",lazer
"adquiri museu por R$ 1.003,00",lazer
"comprei R$ 381,00 de hobby",lazer
"realizei pagamento de R$ 1.760,00 em academia",lazer
"fiz compra de jogo por R$ 3.072,00",lazer
"fiz compra de viagem por R$ 5.876,00",lazer
"comprei R$ 8.950,00 de hobby",lazer
"comprei R$ 6.500,00 de teatro",lazer
"comprei R$ 6.575,00 de museu",lazer
"adquiri teatro por R$ 5.827,00",lazer
"paguei R$ 7.381,00 por viagem",lazer
"gastei R$ 2.970,00 com show",lazer
